MicronMicron ID,Connections available,UL Out and DL In,DL Out and UL In,UL Whole Frame Delay,DL/UL Time Tag Delay,Chain ID
(#),(N/S/E/W),(N/S/E/W),(N/S/E/W),(frames),(frames),(1-8)
4,E,E,,0,?,1
5,E/W,E,W,1,?,1
6,E/W,E,W,2,?,1
7,N/E/W,N,W,3,?,1
8,N/E/W,N,E,3,?,2
9,E/W,W,E,2,?,2
10,E/W,W,E,1,?,2
11,W,W,,0,?,2
18,N/E,E,,1,?,1
19,N/E/W,E,W,2,?,1
20,N/E/W,E,W,3,?,1
21,N/S/E/W,N,S/W,4,?,1
22,N/S/E/W,N,S/E,4,?,2
23,N/E/W,W,E,3,?,2
24,N/E/W,W,E,2,?,2
25,N/W,W,,1,?,2
30,N/E,N,E,10,?,1
31,E/W,W,E,9,?,1
32,S/E/W,W,E,8,?,1
33,S/E/W,W,E,7,?,1
34,S/E/W,W,E,6,?,1
35,S/E/W,W,S,5,?,1
36,S/E/W,E,S,5,?,2
37,S/E/W,E,W,6,?,2
38,S/E/W,E,W,7,?,2
39,S/E/W,E,W,8,?,2
40,E/W,E,W,9,?,2
41,N/W,N,W,10,?,2
44,N/S/E,E,S,11,?,1
45,N/E/W,E,W,12,?,1
46,N/E/W,E,W,13,?,1
47,N/E/W,E,W,14,?,1
48,N/E/W,E,W,15,?,1
49,N/E/W,N,W,16,?,1
50,N/E/W,N,E,16,?,2
51,N/E/W,W,E,15,?,2
52,N/E/W,W,E,14,?,2
53,N/E/W,W,E,13,?,2
54,N/E/W,W,E,12,?,2
55,N/S/W,W,S,11,?,2
58,S/E,E,,12,?,1
59,S/E/W,E,W,13,?,1
60,S/E/W,E,W,14,?,1
61,S/E/W,E,W,15,?,1
62,S/E/W,E,W,16,?,1
63,N/S/E/W,N,S/W,17,?,1
64,N/S/E/W,N,S/E,17,?,2
65,S/E/W,W,E,16,?,2
66,S/E/W,W,E,15,?,2
67,S/E/W,W,E,14,?,2
68,S/E/W,W,E,13,?,2
69,S/W,W,,12,?,2
72,N/E,E,,13,?,8
73,N/E/W,E,W,14,?,8
74,N/E/W,E,W,15,?,8
75,N/E/W,E,W,16,?,8
76,N/E/W,N,W,17,?,8
77,N/S/E/W,N,S,18,?,1
78,N/S/E/W,N,S,18,?,2
79,N/E/W,N,E,17,?,3
80,N/E/W,W,E,16,?,3
81,N/E/W,W,E,15,?,3
82,N/E/W,W,E,14,?,3
83,N/W,W,,13,?,3
86,N/S/E,E,,14,?,8
87,S/E/W,E,W,15,?,8
88,S/E/W,E,W,16,?,8
89,S/E/W,E,W,17,?,8
90,S/E/W,E,S/W,18,?,8
93,S/E/W,W,S/E,18,?,3
94,S/E/W,W,E,17,?,3
95,S/E/W,W,E,16,?,3
96,S/E/W,W,E,15,?,3
97,N/S/W,W,,14,?,3
100,N/S/E,E,,14,?,7
101,N/E/W,E,W,15,?,7
102,N/E/W,E,W,16,?,7
103,N/E/W,E,W,17,?,7
104,N/E/W,E,N/W,18,?,7
107,N/E/W,W,N/E,18,?,4
108,N/E/W,W,E,17,?,4
109,N/E/W,W,E,16,?,4
110,N/E/W,W,E,15,?,4
111,N/S/W,W,,14,?,4
114,S/E,E,,13,?,7
115,S/E/W,E,W,14,?,7
116,S/E/W,E,W,15,?,7
117,S/E/W,E,W,16,?,7
118,S/E/W,S,W,17,?,7
119,N/S/E/W,S,N,18,?,6
120,N/S/E/W,S,N,18,?,5
121,S/E/W,S,E,17,?,4
122,S/E/W,W,E,16,?,4
123,S/E/W,W,E,15,?,4
124,S/E/W,W,E,14,?,4
125,S/W,W,,13,?,4
128,N/E,E,,12,?,6
129,N/E/W,E,W,13,?,6
130,N/E/W,E,W,14,?,6
131,N/E/W,E,W,15,?,6
132,N/E/W,E,W,16,?,6
133,N/S/E/W,S,N/W,17,?,6
134,N/S/E/W,S,N/E,17,?,5
135,N/E/W,W,E,16,?,5
136,N/E/W,W,E,15,?,5
137,N/E/W,W,E,14,?,5
138,N/E/W,W,E,13,?,5
139,N/W,W,,12,?,5
142,N/S/E,E,N,11,?,6
143,S/E/W,E,W,12,?,6
144,S/E/W,E,W,13,?,6
145,S/E/W,E,W,14,?,6
146,S/E/W,E,W,15,?,6
147,S/E/W,S,W,16,?,6
148,S/E/W,S,E,16,?,5
149,S/E/W,W,E,15,?,5
150,S/E/W,W,E,14,?,5
151,S/E/W,W,E,13,?,5
152,S/E/W,W,E,12,?,5
153,N/S/W,W,N,11,?,5
156,S/E,S,E,10,?,6
157,E/W,W,E,9,?,6
158,N/E/W,W,E,8,?,6
159,N/E/W,W,E,7,?,6
160,N/E/W,W,E,6,?,6
161,N/E/W,W,N,5,?,6
162,N/E/W,E,N,5,?,5
163,N/E/W,E,W,6,?,5
164,N/E/W,E,W,7,?,5
165,N/E/W,E,W,8,?,5
166,E/W,E,W,9,?,5
167,S/W,S,W,10,?,5
172,S/E,E,,1,?,6
173,S/E/W,E,W,2,?,6
174,S/E/W,E,W,3,?,6
175,N/S/E/W,S,N/W,4,?,6
176,N/S/E/W,S,N/E,4,?,5
177,S/E/W,W,E,3,?,5
178,S/E/W,W,E,2,?,5
179,S/W,W,,1,?,5
186,E,E,,0,?,6
187,E/W,E,W,1,?,6
188,E/W,E,W,2,?,6
189,S/E/W,S,W,3,?,6
190,S/E/W,S,E,3,?,5
191,E/W,W,E,2,?,5
192,E/W,W,E,1,?,5
193,W,W,,0,?,5
