MicronMicron ID,Connections available,BWD,FWD,Empty,Empty,Chain ID
(#),(N/S/E/W),(N/S/E/W),(N/S/E/W),,,(1-8)
4,E,E,,,,1
5,E/W,E,W,,,1
6,E/W,E,W,,,1
7,N/E/W,N,W,,,1
8,N/E/W,N,E,,,2
9,E/W,W,E,,,2
10,E/W,W,E,,,2
11,W,W,,,,2
18,N/E,E,,,,1
19,N/E/W,E,W,,,1
20,N/E/W,E,W,,,1
21,N/S/E/W,N,S/W,,,1
22,N/S/E/W,N,S/E,,,2
23,N/E/W,W,E,,,2
24,N/E/W,W,E,,,2
25,N/W,W,,,,2
30,N/E,N,E,,,1
31,E/W,W,E,,,1
32,S/E/W,W,E,,,1
33,S/E/W,W,E,,,1
34,S/E/W,W,E,,,1
35,S/E/W,W,S,,,1
36,S/E/W,E,S,,,2
37,S/E/W,E,W,,,2
38,S/E/W,E,W,,,2
39,S/E/W,E,W,,,2
40,E/W,E,W,,,2
41,N/W,N,W,,,2
44,N/S/E,E,S,,,1
45,N/E/W,E,W,,,1
46,N/E/W,E,W,,,1
47,N/E/W,E,W,,,1
48,N/E/W,E,W,,,1
49,N/E/W,N,W,,,1
50,N/E/W,N,E,,,2
51,N/E/W,W,E,,,2
52,N/E/W,W,E,,,2
53,N/E/W,W,E,,,2
54,N/E/W,W,E,,,2
55,N/S/W,W,S,,,2
58,S/E,E,,,,1
59,S/E/W,E,W,,,1
60,S/E/W,E,W,,,1
61,S/E/W,E,W,,,1
62,S/E/W,E,W,,,1
63,N/S/E/W,N,S/W,,,1
64,N/S/E/W,N,S/E,,,2
65,S/E/W,W,E,,,2
66,S/E/W,W,E,,,2
67,S/E/W,W,E,,,2
68,S/E/W,W,E,,,2
69,S/W,W,,,,2
72,N/E,E,,,,8
73,N/E/W,E,W,,,8
74,N/E/W,E,W,,,8
75,N/E/W,E,W,,,8
76,N/E/W,N,W,,,8
77,N/S/E/W,N,S,,,1
78,N/S/E/W,N,S/E,,,2
79,N/E/W,W,E/N,,,2
80,N/E/W,W,E,,,2
81,N/E/W,W,E,,,2
82,N/E/W,W,E,,,2
83,N/W,W,,,,2
86,N/S/E,E,,,,8
87,S/E/W,E,W,,,8
88,S/E/W,E,W,,,8
89,S/E/W,E,W,,,8
90,S/E/W,E,S/W,,,8
93,S/E,S,E,,,2
94,S/E/W,W,E,,,2
95,S/E/W,W,E,,,2
96,S/E/W,W,E,,,2
97,N/S/W,W,,,,2
100,N/S/E,E,,,,7
101,N/E/W,E,W,,,7
102,N/E/W,E,W,,,7
103,N/E/W,E,W,,,7
104,N/E/W,E,N/W,,,7
107,N/E/W,W,N/E,,,4
108,N/E/W,W,E,,,4
109,N/E/W,W,E,,,4
110,N/E/W,W,E,,,4
111,N/S/W,W,,,,4
114,S/E,E,,,,7
115,S/E/W,E,W,,,7
116,S/E/W,E,W,,,7
117,S/E/W,E,W,,,7
118,S/E/W,S,W,,,7
119,N/S/E/W,S,N,,,6
120,N/E/W,E,N,,,4
121,S/E/W,S,E/W,,,4
122,S/E/W,W,E,,,4
123,S/E/W,W,E,,,4
124,S/E/W,W,E,,,4
125,S/W,W,,,,4
128,N/E,E,,,,6
129,N/E/W,E,W,,,6
130,N/E/W,E,W,,,6
131,N/E/W,E,W,,,6
132,N/E/W,E,W,,,6
133,N/S/E/W,S,N/W,,,6
134,N/S/E/W,S,N/E,,,4
135,N/E/W,W,E,,,4
136,N/E/W,W,E,,,4
137,N/E/W,W,E,,,4
138,N/E/W,W,E,,,4
139,N/W,W,,,,4
142,N/S/E,E,N,,,6
143,S/E/W,E,W,,,6
144,S/E/W,E,W,,,6
145,S/E/W,E,W,,,6
146,S/E/W,E,W,,,6
147,S/E/W,S,W,,,6
148,S/E/W,S,E,,,4
149,S/E/W,W,E,,,4
150,S/E/W,W,E,,,4
151,S/E/W,W,E,,,4
152,S/E/W,W,E,,,4
153,N/S/W,W,N,,,4
156,S/E,S,E,,,6
157,E/W,W,E,,,6
158,N/E/W,W,E,,,6
159,N/E/W,W,E,,,6
160,N/E/W,W,E,,,6
161,N/E/W,W,N,,,6
162,N/E/W,E,N,,,4
163,N/E/W,E,W,,,4
164,N/E/W,E,W,,,4
165,N/E/W,E,W,,,4
166,E/W,E,W,,,4
167,S/W,S,W,,,4
172,S/E,E,,,,6
173,S/E/W,E,W,,,6
174,S/E/W,E,W,,,6
175,N/S/E/W,S,N/W,,,6
176,N/S/E/W,S,N/E,,,4
177,S/E/W,W,E,,,4
178,S/E/W,W,E,,,4
179,S/W,W,,,,4
186,E,E,,,,6
187,E/W,E,W,,,6
188,E/W,E,W,,,6
189,S/E/W,S,W,,,6
190,S/E/W,S,E,,,4
191,E/W,W,E,,,4
192,E/W,W,E,,,4
193,W,W,,,,4
