MicronMicron ID,Connections available,BWD,FWD,Empty,Empty,Chain ID
(#),(N/S/E/W),(N/S/E/W),(N/S/E/W),,,(1-8)
4,E,E,,,,8
5,E/W,E,W,,,8
6,E/W,E,W,,,8
7,N/E/W,N,E/W,,,8
8,N/E/W,W,E,,,8
9,E/W,W,E,,,8
10,E/W,W,E,,,8
11,W,W,,,,8
18,N/E,N,,,,8
19,N/E/W,N,,,,8
20,N/E/W,N,,,,8
21,N/S/E/W,E,S,,,8
22,N/S/E/W,N,W,,,8
23,N/E/W,N,,,,8
24,N/E/W,N,,,,8
25,N/W,N,,,,8
30,N/E,E,,,,8
31,E/W,E,W,,,8
32,S/E/W,E,S/W,,,8
33,S/E/W,E,S/W,,,8
34,S/E/W,E,S/W,,,8
35,S/E/W,E,W,,,8
36,S/E/W,E,S/W,,,8
37,S/E/W,E,S/W,,,8
38,S/E/W,E,S/W,,,8
39,S/E/W,E,S/W,,,8
40,E/W,E,W,,,8
41,N/W,N,W,,,8
44,N/S/E,N,,,,8
45,N/E/W,N,,,,8
46,N/E/W,N,,,,8
47,N/E/W,N,,,,8
48,N/E/W,E,N,,,8
49,N/E/W,E,W,,,8
50,N/E/W,N,E/W,,,8
51,N/E/W,W,N,,,8
52,N/E/W,N,,,,8
53,N/E/W,N,,,,8
54,N/E/W,N,,,,8
55,N/S/W,N,S,,,8
58,S/E,E,S,,,8
59,S/E/W,E,S/W,,,8
60,S/E/W,E,S/W,,,8
61,S/E/W,E,S/W,,,8
62,S/E/W,S,W,,,8
63,N/S/E/W,N,E,,,8
64,N/S/E/W,W,S,,,8
65,S/E/W,S,E,,,8
66,S/E/W,W,S/E,,,8
67,S/E/W,W,S/E,,,8
68,S/E/W,W,S/E,,,8
69,S/W,W,S,,,8
72,N/E,E,N,,,8
73,N/E/W,E,N/W,,,8
74,N/E/W,E,N/W,,,8
75,N/E/W,E,N/W,,,8
76,N/E/W,N,E/W,,,8
77,N/S/E/W,W,E/S,,,8
78,N/S/E/W,W,E,,,8
79,N/E/W,W,E/N,,,8
80,N/E/W,W,N/E,,,8
81,N/E/W,W,N/E,,,8
82,N/E/W,W,N,,,8
83,N/W,N,,,,4
86,N/S/E,S,N,,,8
87,S/E/W,S,,,,8
88,S/E/W,S,,,,8
89,S/E/W,S,,,,8
90,S/E/W,E,S,,,8
93,S/E,S,,,,8
94,S/E/W,S,,,,8
95,S/E/W,S,,,,8
96,S/E/W,S,,,,8
97,N/S/W,N,S,,,4
100,N/S/E,S,N,,,8
101,N/E/W,N,,,,4
102,N/E/W,N,,,,4
103,N/E/W,N,,,,4
104,N/E/W,N,,,,4
107,N/E/W,W,N,,,4
108,N/E/W,N,,,,4
109,N/E/W,N,,,,4
110,N/E/W,N,,,,4
111,N/S/W,N,S,,,4
114,S/E,S,,,,8
115,S/E/W,E,S,,,4
116,S/E/W,E,S/W,,,4
117,S/E/W,E,S/W,,,4
118,S/E/W,E,S/W,,,4
119,N/S/E/W,E,W,,,4
120,N/E/W,E,N/W,,,4
121,S/E/W,S,E/W,,,4
122,S/E/W,W,S/E,,,4
123,S/E/W,W,S/E,,,4
124,S/E/W,W,S/E,,,4
125,S/W,W,S,,,4
128,N/E,E,N,,,4
129,N/E/W,E,N/W,,,4
130,N/E/W,E,N/W,,,4
131,N/E/W,E,N/W,,,4
132,N/E/W,N,W,,,4
133,N/S/E/W,E,N,,,4
134,N/S/E/W,S,W,,,4
135,N/E/W,N,E,,,4
136,N/E/W,W,N/E,,,4
137,N/E/W,W,N/E,,,4
138,N/E/W,W,N/E,,,4
139,N/W,W,N,,,4
142,N/S/E,S,N,,,4
143,S/E/W,S,,,,4
144,S/E/W,S,,,,4
145,S/E/W,S,,,,4
146,S/E/W,E,S,,,4
147,S/E/W,S,E/W,,,4
148,S/E/W,W,E,,,4
149,S/E/W,W,S,,,4
150,S/E/W,S,,,,4
151,S/E/W,S,,,,4
152,S/E/W,S,,,,4
153,N/S/W,S,,,,4
156,S/E,S,E,,,4
157,E/W,W,E,,,4
158,N/E/W,W,N/E,,,4
159,N/E/W,W,N/E,,,4
160,N/E/W,W,N/E,,,4
161,N/E/W,W,N/E,,,4
162,N/E/W,W,E,,,4
163,N/E/W,W,N/E,,,4
164,N/E/W,W,N/E,,,4
165,N/E/W,W,N/E,,,4
166,E/W,W,E,,,4
167,S/W,W,,,,4
172,S/E,S,,,,4
173,S/E/W,S,,,,4
174,S/E/W,S,,,,4
175,N/S/E/W,S,E,,,4
176,N/S/E/W,W,N,,,4
177,S/E/W,S,,,,4
178,S/E/W,S,,,,4
179,S/W,S,,,,4
186,E,E,,,,4
187,E/W,E,W,,,4
188,E/W,E,W,,,4
189,S/E/W,E,W,,,4
190,S/E/W,S,E/W,,,4
191,E/W,W,E,,,4
192,E/W,W,E,,,4
193,W,W,,,,4
