Micron ID,Ring
(#),(A-G)
4,F
5,F
6,F
7,F
8,F
9,F
10,F
11,F
18,E
19,E
20,E
21,E
22,E
23,E
24,E
25,E
30,E
31,E
32,E
33,E
34,E
35,E
36,E
37,E
38,E
39,E
40,E
41,E
44,E
45,D
46,C
47,C
48,C
49,C
50,C
51,C
52,C
53,C
54,D
55,E
58,E
59,D
60,C
61,C
62,C
63,B
64,B
65,C
66,C
67,C
68,D
69,E
72,E
73,D
74,C
75,B
76,A
77,A
78,A
79,A
80,B
81,C
82,D
83,E
86,E
87,D
88,C
89,B
90,A
93,A
94,B
95,C
96,D
97,E
100,E
101,D
102,C
103,B
104,A
107,A
108,B
109,C
110,D
111,E
114,E
115,D
116,C
117,B
118,A
119,A
120,A
121,A
122,B
123,C
124,D
125,E
128,E
129,D
130,C
131,C
132,C
133,B
134,B
135,C
136,C
137,C
138,D
139,E
142,E
143,D
144,C
145,C
146,C
147,C
148,C
149,C
150,C
151,C
152,D
153,E
156,E
157,E
158,E
159,E
160,E
161,E
162,E
163,E
164,E
165,E
166,E
167,E
172,E
173,E
174,E
175,E
176,E
177,E
178,E
179,E
186,F
187,F
188,F
189,F
190,F
191,F
192,F
193,F
